m,M,epsilon_of_M,NICV
0.1,0.1,0.25,0.411703736034233
0.1,0.1,0.25,0.6967334538446222
0.1,0.1,0.25,0.5943242702327058
0.1,0.1,0.25,1.1122015424109157
0.1,0.1,0.25,0.5343293169269676
0.1,0.1,0.25,1.4458292674946118
0.1,0.1,0.25,0.49424791487780106
0.1,0.1,0.25,0.5287836454349708
0.1,0.1,0.25,0.9236584924282574
0.1,0.1,0.25,0.7133746185273054
0.1,0.1,0.25,0.5368893353369832
0.1,0.1,0.25,0.7389133676361227
0.1,0.1,0.25,1.4157639910217374
0.1,0.1,0.25,0.42420602227569243
0.1,0.1,0.25,0.8782904868545256
0.1,0.1,0.25,0.6831923881182934
0.1,0.1,0.25,1.1532758378628925
0.1,0.1,0.25,0.7134015140865447
0.1,0.1,0.25,0.5561555443411363
0.1,0.1,0.25,0.6009593225647524
0.1,0.1,0.25,0.43981819728808597
0.1,0.1,0.25,1.0620590143447954
0.1,0.1,0.25,1.5788303307758702
0.1,0.1,0.25,0.5584763839551206
0.1,0.1,0.25,1.0161892248011688
0.1,0.1,0.25,0.4580171207128798
0.1,0.1,0.25,0.9573916040371675
0.1,0.1,0.25,0.9149732418856403
0.1,0.1,0.25,0.48967544339739877
0.1,0.1,0.25,1.0163848678879426
0.1,0.1,0.25,0.5179495950027496
0.1,0.1,0.25,0.5158854260057335
0.1,0.1,0.25,0.4876580266589098
0.1,0.1,0.25,0.7060165607521147
0.1,0.1,0.25,0.820272467171295
0.1,0.1,0.25,1.1422945798566357
0.1,0.1,0.25,1.1437119918793148
0.1,0.1,0.25,0.7740125944474525
0.1,0.1,0.25,0.6731471682801409
0.1,0.1,0.25,0.5981326171418131
0.1,0.1,0.25,0.5075912778032082
0.1,0.1,0.25,0.7873320438970196
0.1,0.1,0.25,0.7481435576508071
0.1,0.1,0.25,0.5104069729642782
0.1,0.1,0.25,0.7254635620603554
0.1,0.1,0.25,0.709646302075864
0.1,0.1,0.25,2.31117751138637
0.1,0.1,0.25,0.6612585238646022
0.1,0.1,0.25,1.0260116458085544
0.1,0.1,0.25,0.5635916193121641
0.1,0.1,0.25,0.710721815842885
0.1,0.1,0.25,0.5286118107928914
0.1,0.1,0.25,0.642777426779889
0.1,0.1,0.25,0.6585469689562088
0.1,0.1,0.25,0.8219285913263412
0.1,0.1,0.25,0.6236846808640238
0.1,0.1,0.25,0.736728634562953
0.1,0.1,0.25,0.4937442407897597
0.1,0.1,0.25,0.6629913677679343
0.1,0.1,0.25,0.7750367105522404
0.1,0.1,0.25,0.46581066101715546
0.1,0.1,0.25,0.6875910232840323
0.1,0.1,0.25,0.6412997352264286
0.1,0.1,0.25,0.752185702544056
0.1,0.1,0.25,0.5771714688910738
0.1,0.1,0.25,1.0386167851306618
0.1,0.1,0.25,0.39847018297593845
0.1,0.1,0.25,0.7378768384660821
0.1,0.1,0.25,0.6730038684763769
0.1,0.1,0.25,0.8020847909791303
0.1,0.1,0.25,0.42246298570269053
0.1,0.1,0.25,0.5521743260188239
