m,M,epsilon_of_M,NICV
0.1,0.1,0.25,0.4864757140020876
0.1,0.1,0.25,0.5433513084081577
0.1,0.1,0.25,0.5628624930197171
0.1,0.1,0.25,0.6521158228571274
0.1,0.1,0.25,0.697832279675759
0.1,0.1,0.25,0.8466683981643729
0.1,0.1,0.25,0.4840842117358807
0.1,0.1,0.25,0.3928019406147498
0.1,0.1,0.25,0.6300325306094992
0.1,0.1,0.25,0.5921862776188569
0.1,0.1,0.25,0.48071265038458805
0.1,0.1,0.25,0.4625733607643897
0.1,0.1,0.25,1.1371109480786896
0.1,0.1,0.25,0.5280914389256458
0.1,0.1,0.25,0.485096439372862
0.1,0.1,0.25,0.4673430809818395
0.1,0.1,0.25,0.8893517049451437
0.1,0.1,0.25,0.656194100980235
0.1,0.1,0.25,0.46192980402673495
0.1,0.1,0.25,0.5040247640951752
0.1,0.1,0.25,0.7693882195465863
0.1,0.1,0.25,0.4335695625267556
0.1,0.1,0.25,0.4828313205945375
0.1,0.1,0.25,1.5600930141726388
0.1,0.1,0.25,0.8129996447371205
0.1,0.1,0.25,0.8351100650998646
0.1,0.1,0.25,1.602814384127154
0.1,0.1,0.25,0.5857714664616878
0.1,0.1,0.25,0.673015094027877
0.1,0.1,0.25,0.677338215396621
0.1,0.1,0.25,0.7065367350259654
0.1,0.1,0.25,0.48795767996001504
0.1,0.1,0.25,0.6131457092350107
0.1,0.1,0.25,0.5096479488546235
0.1,0.1,0.25,0.4803208455204646
0.1,0.1,0.25,0.5998030955730834
0.1,0.1,0.25,0.8864683435138809
0.1,0.1,0.25,0.9028694512957656
0.1,0.1,0.25,0.5800534704230366
0.1,0.1,0.25,0.694247705431737
0.1,0.1,0.25,0.43790595282798556
0.1,0.1,0.25,0.47170960609620294
0.1,0.1,0.25,0.6194129619687556
0.1,0.1,0.25,0.5567084977991866
0.1,0.1,0.25,0.7036795620842733
0.1,0.1,0.25,0.573122178268078
0.1,0.1,0.25,2.039645110989399
0.1,0.1,0.25,0.522180626488498
0.1,0.1,0.25,0.955233785382169
0.1,0.1,0.25,0.6088797261044379
0.1,0.1,0.25,0.5881388422795988
0.1,0.1,0.25,0.4876849784711284
