m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.13,0.13,-0.012520833867245285,-0.008950141530979006,-0.005359556204947102
0.14,0.14,-0.013392306321316771,-0.0097322107395576,-0.005552571802112882
0.15,0.15,-0.013556436412999084,-0.00967873480000958,-0.005969377485376792
0.16,0.16,-0.015665013463730837,-0.011221100240261184,-0.006963650478421346
0.17,0.17,-0.017581177012647053,-0.01135307975961486,-0.007896764596928008
0.18,0.18,-0.018078837971968853,-0.01134655755015268,-0.009136844066497063
0.19,0.19,-0.018511755112944173,-0.011565940308964073,-0.009851910890480264
0.21,0.21,-0.02310636640385577,-0.014861772464931478,-0.013068840846477803
0.22,0.22,-0.023471502236876107,-0.013939546312922213,-0.012523814150997181
0.23,0.23,-0.0241375728104829,-0.016689776506283893,-0.014011250117101581
0.24,0.24,-0.024227038693037772,-0.0154504407917469,-0.012629516933692797
0.25,0.25,-0.0278690896427628,-0.014653498855914604,-0.017419837522855752
0.26,0.26,-0.0282207935128585,-0.017898951948932595,-0.01901673875026
0.27,0.27,-0.02990962478717274,-0.017429880977954504,-0.0217889539451232
0.28,0.28,-0.030525908502615218,-0.016707308221513117,-0.0191768728964955
0.29,0.29,-0.033018274416777404,-0.017260657316236494,-0.021583579342146608
0.31,0.31,-0.03562353223337561,-0.020214617626905296,-0.022373933000560398
0.32,0.32,-0.037234737734865686,-0.022618109300101774,-0.023359626529688315
0.33,0.33,-0.0382954530296194,-0.02475956070319757,-0.02360645780577081
0.34,0.34,-0.03944591153114024,-0.024655568969870423,-0.024547337584989726
0.35,0.35,-0.040734246375892014,-0.025235615882080675,-0.024697984023993313
0.36,0.36,-0.042400525182299975,-0.02768684939957816,-0.025459082254933263
0.37,0.37,-0.0433011295315987,-0.027423346354233102,-0.025877307500967173
0.38,0.38,-0.046386773946997195,-0.029345693108233317,-0.02726540075959749
0.39,0.39,-0.04704940587615519,-0.029942761209326985,-0.027091049993526906
0.41,0.41,-0.05068221199737849,-0.0326735496555669,-0.02869255755218786
0.42,0.42,-0.05113806162085199,-0.034835364268893776,-0.02834474640564638
0.43,0.43,-0.052759514229968996,-0.03591836367373408,-0.028812003189913116
0.44,0.44,-0.05414309481068774,-0.037945302364827405,-0.029650239782092025
0.45,0.45,-0.05493612590713881,-0.036866905057274024,-0.030347138734689028
0.46,0.46,-0.05754022048404778,-0.03885057574079337,-0.030011763155385895
0.47,0.47,-0.05766290393746859,-0.040545830042919506,-0.030533852193707134
0.48,0.48,-0.058608575312191935,-0.04056677158105243,-0.03032981605163193
0.49,0.49,-0.06154452460673909,-0.04330997508020118,-0.030858389742138392
0.51,0.51,-0.06427708770443141,-0.045745073213943,-0.03112832562754253
0.52,0.52,-0.0653294349003542,-0.04865315401090031,-0.031136428884588507
0.53,0.53,-0.06567634531483318,-0.04800884429675922,-0.03081073135702095
0.54,0.54,-0.06714529812371428,-0.05006207520986328,-0.030976145037552694
0.55,0.55,-0.06811719338115341,-0.05059657994903399,-0.031613032583535594
0.56,0.56,-0.07011007995248258,-0.05308458125430099,-0.03148303837133942
0.57,0.57,-0.07212619907645262,-0.05444027722936079,-0.03303728738020362
0.58,0.58,-0.07178028553962401,-0.05444291758916253,-0.03177948694092092
0.59,0.59,-0.0745579985068065,-0.05701366025330823,-0.03235323031472731
0.61,0.61,-0.07643946209991215,-0.0581727480609342,-0.03225364939459724
0.62,0.62,-0.0800569676690912,-0.05965480821559804,-0.03354662393883889
0.63,0.63,-0.08527096597288097,-0.06499611115582221,-0.032859868727724784
0.64,0.64,-0.09039557748419591,-0.07196610261523301,-0.030520399572884105
0.65,0.65,-0.09391569460418242,-0.07296272083045241,-0.03347665170417874
0.66,0.66,-0.09615796184201209,-0.07142306635051598,-0.034084633514915696
0.67,0.67,-0.09869616205509169,-0.07368018924498049,-0.0356400664613592
0.68,0.68,-0.10185235124888348,-0.07256409284188797,-0.0383209753194364
0.69,0.69,-0.1040932556396878,-0.076322613027759,-0.03889968639077668
0.71,0.71,-0.1112309961459943,-0.07815841120260553,-0.04331761756562191
0.72,0.72,-0.1144430772694901,-0.0813748082352922,-0.04293308067224322
0.73,0.73,-0.12088524957725127,-0.08210583449257347,-0.04854843629734451
0.74,0.74,-0.12376517337431281,-0.08319577536429323,-0.0493529434178861
0.75,0.75,-0.12785031622696758,-0.08478636567691111,-0.05330790107159361
0.76,0.76,-0.12629174905169094,-0.08652352914361422,-0.048873990105465503
0.77,0.77,-0.13347531514330208,-0.08857036555026626,-0.054644307358839794
0.78,0.78,-0.13803943224880583,-0.09046546557527413,-0.057994596139675725
0.79,0.79,-0.1458730785788242,-0.09202658790046231,-0.0637872442663423
0.81,0.81,-0.1651106944429957,-0.09761836914751598,-0.08015069087282128
0.82,0.82,-0.18542884151873978,-0.1033466022100778,-0.09630247385623719
0.83,0.83,-0.20157374192162014,-0.10692170567930959,-0.10975724447197255
0.84,0.84,-0.21937247887380285,-0.11254289786412686,-0.12512329010387158
0.85,0.85,-0.23719822303296523,-0.11689749486720619,-0.13884612420586806
0.86,0.86,-0.2635986521150393,-0.11993858361894921,-0.16019080933841207
0.87,0.87,-0.2922280111027353,-0.1287070930779945,-0.18242952684437647
0.88,0.88,-0.3498355528122715,-0.1354622367939095,-0.23365006672100902
0.89,0.89,-0.38995665754484155,-0.1504114340382161,-0.26929368253247055
0.91,0.91,-0.543653710216912,-0.18285740219272228,-0.39775283581682047
0.92,0.92,-0.6241420639516552,-0.2052262868541711,-0.4613014556239782
0.93,0.93,-0.7831005234890325,-0.23599676880595571,-0.5898810445572942
0.94,0.94,-1.0597755518029615,-0.2856581674104048,-0.8247311464440826
0.95,0.95,-1.3052553949429133,-0.3584681846630308,-1.0149024969046847
0.96,0.96,-1.6218166993542993,-0.4724373353117961,-1.2122660183640916
0.97,0.97,-2.0466868913931062,-0.7070890377493283,-1.406909851220679
0.98,0.98,-2.546430395805528,-1.0860062437834204,-1.440498730663421
0.99,0.99,-2.955576456698863,-2.0766865601655904,-0.9707697294341906
