m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.6,0.6,-0.0164427306675164,-0.0009799679738737,-0.0129952652938587
0.6,0.7,-0.0159676303723955,-0.013135786344741,-0.014676378820705301
0.6,0.8,-0.0235998944492451,-0.0072678420896609,-0.0235083901568767
0.6,0.9,-0.0261299456321618,,-0.025021057331471402
0.7,0.7,-0.0424445299328726,-0.0020343691920881,-0.0337099929587839
0.7,0.8,-0.0528167855852494,-0.0042338465837866,-0.0513381016635714
0.7,0.9,-0.0642782750838517,,-0.0638673371887657
0.8,0.8,-0.1307603364386099,-0.0056705002471325,-0.0960700166378246
0.8,0.9,-0.2115800835302601,-0.0269300633191241,-0.21097384531780888
0.9,0.9,-0.7408928809769352,-0.033957759524456795,-0.46810166561076727
0.01,0.01,-0.00016434272276939993,-0.00011655364059799992,-0.00010381866857300001
0.02,0.02,-0.00024237323012289995,-8.908811049169996e-05,-0.0002010276951288
0.03,0.03,-0.00025128482969790007,-5.364880100090005e-05,-0.00019302373256640008
0.04,0.04,-0.00032272419150999995,-0.00015808483425009995,-0.00023678842653439996
0.05,0.05,-0.0002768500623822,-5.651653063570004e-05,-0.00027143258276850007
0.06,0.06,-0.0002700096536139001,4.3008721692999936e-05,-0.0002297438113957
0.07,0.07,-0.00027817078333089993,-0.00010544850063279993,-0.00022892843097309997
0.08,0.08,-0.0003464990999201,-0.0001640432818141999,-0.00027120327018530005
0.09,0.09,-0.0003483836951395999,-6.634009585439996e-05,-0.00028234624263609996
0.11,0.11,-0.0003026953860681,-0.00018909950109359996,-0.00021563837944759995
0.12,0.12,-0.00047150528656079993,-0.00011996857349059998,-0.00035020746168149995
0.13,0.13,-0.0004950897706569999,-0.00010149653751920001,-0.0004135508525557999
0.14,0.14,-0.0005610982822091001,-0.00015893411677829993,-0.0004007895589127001
0.15,0.15,-0.0006066506724318999,-0.00011156537548690003,-0.0005218103254897999
0.16,0.16,-0.0006380907975941002,-7.135943715790005e-05,-0.0004899820795492002
0.17,0.17,-0.0006530748103019,-5.570935989869996e-05,-0.0005221208863669001
0.18,0.18,-0.0006148554721339,-0.00010379932923930001,-0.0005186665371042
0.19,0.19,-0.0007911943577908001,-0.00012721407135370003,-0.0006836005943274
0.21,0.21,-0.0007638766604658,-0.00015532643994710003,-0.000622256316281
0.22,0.22,-0.0008142223609376,-0.00016044203188840002,-0.0006448304831857
0.23,0.23,-0.0011571565729244,-0.00011476800815169992,-0.0009966575428744001
0.24,0.24,-0.0012759916685242,-0.0001873344094891,-0.0010480992724958998
0.25,0.25,-0.0010453130626477,-7.459617878169996e-05,-0.0008787294263367001
0.26,0.26,-0.0010826276936650998,-7.549790648839997e-05,-0.0007774841316453
0.27,0.27,-0.0010888635636712,0.0001252488850464,-0.0008036591395794
0.28,0.28,-0.0009426500107748999,-7.52593018949995e-06,-0.0006322023120466999
0.29,0.29,-0.0009230460563722,-0.00015601419142980007,-0.0005648414689364001
0.31,0.31,-0.0010989399843832999,-2.6148112392200074e-05,-0.0007341196137843
0.32,0.32,-0.0010581350665480002,-4.660948087270003e-05,-0.0006440270143727
0.33,0.33,-0.0013029457666455001,-5.606097470560001e-05,-0.0008844552323565001
0.34,0.34,-0.0014675071654826001,-0.0001246043060997,-0.0010812741615951
0.35,0.35,-0.0015851446116763998,-0.00013210771580200004,-0.0010599641510178998
0.36,0.36,-0.0016434864450968999,-0.00011772277941520003,-0.0010414222327722999
0.37,0.37,-0.0018089043580359998,-0.00012673959264589997,-0.0012218405433534999
0.38,0.38,-0.0019020975371854998,-9.271043596969998e-05,-0.0013258689489917999
0.39,0.39,-0.002093224596797,-0.0001051182868657,-0.0013983284341352999
0.41,0.41,-0.0025066533267948,-0.0003660774884336,-0.0017550592664152002
0.42,0.42,-0.0020293891495415,-0.000198661185125,-0.0011823056954429001
0.43,0.43,-0.0026771085894897,-0.00013322431111380002,-0.0017601554532701
0.44,0.44,-0.0025796910554765,-0.0002645529415211999,-0.0018430261854555999
0.45,0.45,-0.0035840870294359998,-0.0001975798777959,-0.0025045669036803998
0.46,0.46,-0.0038081090943589005,-0.00029476314595539997,-0.0026279836460182003
0.47,0.47,-0.004305457213670901,-0.00034158107913619996,-0.0030651013262309006
0.48,0.48,-0.0045134440388978,-0.00035426078169390005,-0.0031580511623678998
0.49,0.49,-0.0050419481874208,-0.0007553642871724999,-0.0036536022298330998
0.51,0.51,-0.006456812932784,-0.00042993716089320005,-0.004809454026401
0.52,0.52,-0.0068677518940145,-0.0008904721228637,-0.005083209337257999
0.53,0.53,-0.006389186987875901,-0.0004297976213143,-0.0044145317511877
0.54,0.54,-0.0067265780099035,-0.0005394876170221999,-0.0046924963889284
0.55,0.55,-0.0097419726068022,-0.0006530528713215,-0.007725632839309101
0.56,0.56,-0.0106475271411632,-0.0010264935269812,-0.008191059125449299
0.57,0.57,-0.0088344517445276,-0.0007110552197674999,-0.0061013208191966
0.58,0.58,-0.0076397460574737,-0.0006388851916352,-0.0047361508811582
0.59,0.59,-0.0112332671312889,-0.0008472364845921,-0.0081976949084496
0.61,0.61,-0.011243560270866699,-0.0015500535091490001,-0.007463918600467299
0.62,0.62,-0.0118764350760101,-0.0009674085157428,-0.008010728282439001
0.63,0.63,-0.012363465196506301,-0.0012883326958344,-0.0081354855274142
0.64,0.64,-0.0139918071973821,-0.0012105610523454,-0.0092501205816999
0.65,0.65,-0.015232423495630101,-0.0020584906712929002,-0.010208450077484901
0.66,0.66,-0.0192622724873483,-0.0016465092022489,-0.013432736575011001
0.67,0.67,-0.0227814374760466,-0.0017949273338672,-0.0163747070120283
0.68,0.68,-0.0204777681309867,-0.0017108896409199002,-0.0132134359608763
0.69,0.69,-0.0252152502860448,-0.0019802839326511002,-0.017169677049826998
0.71,0.71,-0.0297683168612509,-0.0034406506972907004,-0.0212029819709863
0.72,0.72,-0.0412257590987098,-0.0024823960154353,-0.030405871347161
0.73,0.73,-0.048099800878062496,-0.0026173665406123998,-0.036050517266709
0.74,0.74,-0.0540597711985863,-0.0031508484908439,-0.0406713433567452
0.75,0.75,-0.0650542233812785,-0.0036066662251323005,-0.0508669545332799
0.76,0.76,-0.0691063739551993,-0.0042346781422721,-0.0522400821832832
0.77,0.77,-0.0796459037246214,-0.0046210151425226005,-0.0608710483726112
0.78,0.78,-0.1173424349985739,-0.0059820332177244005,-0.0960708611261207
0.79,0.79,-0.1549058149981904,-0.0084045670289779,-0.13046227725813528
0.81,0.81,-0.1946004038240227,-0.0091747875885762,-0.160965267802312
0.82,0.82,-0.21958758450604612,-0.0086658955541701,-0.1824514626925418
0.83,0.83,-0.2535692247446044,-0.0096844468533586,-0.1993207052400327
0.84,0.84,-0.4213698944491905,-0.012284497147049,-0.3488178275996775
0.85,0.85,-0.3500674360587652,-0.0150560916655034,-0.262836318621622
0.86,0.86,-0.46440486104701667,-0.018146996589521302,-0.3438519391355651
0.87,0.87,-0.6089090252407937,-0.0173529930950426,-0.4509382144102718
0.88,0.88,-0.3980172519386686,-0.0235846367123471,-0.25991690655055444
0.89,0.89,-0.5370579006963614,-0.0306129974003295,-0.3032425366917445
0.91,0.91,-0.8129367546741375,-0.0537690750983014,-0.38223675415790037
0.92,0.92,-0.9817331888060215,-0.0613005742144688,-0.4754088749868971
0.93,0.93,-1.0787668819424365,-0.08849959177833741,-0.29295464152883854
0.94,0.94,-1.2879614904691101,-0.1057500147542714,-0.42567344341261293
0.95,0.95,-1.4831297224965938,-0.1878000423010626,-0.5746107586559563
0.96,0.96,-1.580945114970866,-0.2762246806644476,-0.3536893407489756
0.97,0.97,-1.5327343590597364,-0.6206410770645365,-0.22361558883751997
0.98,0.98,-1.385794458877332,-1.0450100349820508,0.11644122239161425
0.99,0.99,-1.2692322440365824,-1.527812116064156,0.29150240502506186
