m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.52,0.52,0.0012311329649183,0.0010749958076924,0.0004951898050558999
0.53,0.53,0.0012458069543657,0.0010211699960335002,0.0004882130749688
0.54,0.54,0.0012418144616222,0.0010576670673352,0.00047439949628600006
0.55,0.55,0.0011411221661326,0.0010793752384164,0.0003122856793037
0.56,0.56,0.0010584321254916,0.0011488936378325001,0.00024329261975960007
0.57,0.57,0.0010308913909449998,0.0011784644092712,0.00020373589664909994
0.58,0.58,0.0010112903409838,0.0011515169100738002,0.00016082088745370004
0.59,0.59,0.0008694771375914001,0.0012073671567850001,2.2357356972000004e-05
0.61,0.61,0.0007779741418240001,0.0011799075145889001,-0.00012884964699689996
0.62,0.62,0.0005971153356743,0.0011962097835767,-0.0003618106758635
0.63,0.63,0.00036836052136870003,0.0010670860654060001,-0.00035903908274509996
0.64,0.64,0.00025913042811440004,0.0009597003631851,-0.00044234215040819987
0.65,0.65,-9.12827825423001e-05,0.0008735393269046,-0.000722620774661
0.66,0.66,-0.0002773064001849999,0.0008391687293682001,-0.0009342547976986
0.67,0.67,-0.0005037305256614,0.0008444015889741,-0.0011610593131594002
0.68,0.68,-0.0007398785510768001,0.0008933540611855,-0.0014499430032461
0.69,0.69,-0.0007697189001792002,0.0008693789896254999,-0.0015313812616846003
0.71,0.71,-0.0015547895854168998,0.0008725810650438,-0.0023537777365895
0.72,0.72,-0.0017472900493375998,0.0007420461637703001,-0.0024818718510204
0.73,0.73,-0.0028292939535747,0.0007605529229745999,-0.0036283365932857003
0.74,0.74,-0.0030536461670981,0.0007338850988858,-0.0038880990441098997
0.75,0.75,-0.0033594100092313,0.0006707279721854999,-0.0042088608736759
0.76,0.76,-0.0043508255727891,0.0005572964938833,-0.0051437592147254
0.77,0.77,-0.0053824081788009,0.0004961984351292001,-0.0061342275080036
0.78,0.78,-0.0061222654891053,0.00014853158424940009,-0.0068608738552344995
0.79,0.79,-0.007233849119428,0.00020143074274959994,-0.0079444989602157
0.81,0.81,-0.010615090917256799,-0.00041926327178700004,-0.0111382710883665
0.82,0.82,-0.014162491412314,-0.0007170673071794,-0.014626835718703601
0.83,0.83,-0.0188099044998208,-0.0014730828005108001,-0.019067631404627403
0.84,0.84,-0.0216093099794143,-0.0017640394356310003,-0.0218275405781804
0.85,0.85,-0.0256525507724958,-0.0016036306335825,-0.0256365409708398
0.86,0.86,-0.0336965258025536,-0.0020235740058242003,-0.0333614116170896
0.87,0.87,-0.0412157688962954,-0.0032272499095978,-0.040357520678685595
0.88,0.88,-0.061148663686904796,-0.0031905093887568997,-0.059663624258790696
0.89,0.89,-0.1144508807725011,-0.007891668984248399,-0.1124107113541508
0.91,0.91,-0.1574530004648371,-0.014286492415708701,-0.15216569571506008
0.92,0.92,-0.2345429786621846,-0.019722539541041098,-0.2275688590081231
0.93,0.93,-0.4543784673840811,-0.026252311008677903,-0.4419045366524839
0.94,0.94,-0.5360505136912503,-0.0462232949977048,-0.5163475679423928
0.95,0.95,-0.8073869000853617,-0.0717588747647865,-0.7732442263322034
0.96,0.96,-0.9746908172582673,-0.11399400008191869,-0.8881193035670952
0.97,0.97,-1.4532462039209464,-0.3000281392114634,-1.1891484446737812
0.98,0.98,-1.5445873632127884,-0.550500536725486,-0.8181782324555331
0.99,0.99,-1.5425646583650467,-1.4786039703553735,-0.41916135697969614
