m,M,epsilon_of_M,stat_NICV
0.15,0.15,0.5671311878330225,0.47103384499835477
0.16,0.16,0.5722709310473791,0.4710232736820833
0.17,0.17,0.5775072862152558,0.4709984964478729
0.18,0.18,0.5828430770684829,0.47204177722038343
0.19,0.19,0.5882812412759918,0.47069256494418954
0.21,0.21,0.5994770461394302,0.47429929016001987
0.22,0.22,0.605241187226804,0.47428924686775537
0.23,0.23,0.6111207164501729,0.4742154931475226
0.24,0.24,0.6171192383963631,0.47473144301039333
0.25,0.25,0.623240513617734,0.4772123267823324
0.26,0.26,0.6294884673770176,0.47314453396777545
0.27,0.27,0.6358671990006552,0.47948063160850846
0.28,0.28,0.6423809918915998,0.4747805929845915
0.29,0.29,0.6490343242575735,0.47767636540104313
0.31,0.31,0.6627785641459,0.477277406169092
0.32,0.32,0.6698795099541458,0.47863966660956103
0.33,0.33,0.6771400993509752,0.4774389746166962
0.34,0.34,0.6845659752137845,0.4788917235934225
0.35,0.35,0.6921630585477133,0.4800140777889929
0.36,0.36,0.6999375663527393,0.48046115631129943
0.37,0.37,0.7078960309222104,0.4919907417549367
0.38,0.38,0.7160453207114357,0.48059835955933167
0.39,0.39,0.7243926629307728,0.483424553195454
0.41,0.41,0.7417123563060677,0.4859483838308058
0.42,0.42,0.7507011867321132,0.48304953578717097
0.43,0.43,0.7599210884467501,0.48690642931620337
0.44,0.44,0.7693814949793284,0.48763812492834835
0.45,0.45,0.7790923816360812,0.4898722458598861
0.46,0.46,0.7890643063542454,0.4856001715175537
0.47,0.47,0.7993084544216629,0.49384220932917233
0.48,0.48,0.8098366875061591,0.48943348979276263
0.49,0.49,0.8206615974995355,0.5044970742571365
0.51,0.51,0.8432558283478445,0.4964489322236459
0.52,0.52,0.8550545481909494,0.49987599541067496
0.53,0.53,0.8672088947341141,0.4996744436053516
0.54,0.54,0.8797361323732651,0.498453859359049
0.55,0.55,0.8926547186350446,0.5000598918487892
0.56,0.56,0.9059844134896071,0.5019527610504041
0.57,0.57,0.9197464013276998,0.5034524943570192
0.58,0.58,0.933963427395995,0.5066197756404028
0.59,0.59,0.9486599507877075,0.5130679463275254
0.61,0.61,0.9795989490944182,0.5107209732063717
0.62,0.62,0.9959005724654699,0.5157031311077742
0.63,0.63,1.012800457979408,0.5156218605820219
0.64,0.64,1.0303347076294318,0.5179425476590147
0.65,0.65,1.0485425769268546,0.522077977960065
0.66,0.66,1.067466844867599,0.5225312057172271
0.67,0.67,1.087154239361446,0.5296080099042961
0.68,0.68,1.1076559283825544,0.5341192476190781
0.69,0.69,1.1290280893818594,0.5310525247977995
0.71,0.71,1.174637675848032,0.5408463211526191
0.72,0.72,1.1990190590869703,0.5476951553330278
0.73,0.73,1.2245608210535006,0.5496356514658033
0.74,0.74,1.2513567832473245,0.5588950808099801
0.75,0.75,1.2795120248207879,0.5640232367683341
0.76,0.76,1.3091447317397615,0.572167948421898
0.77,0.77,1.3403884402961195,0.5746460248299118
0.78,0.78,1.3733947802821322,0.5845302406258038
0.79,0.79,1.4083368574706783,0.6022070697528524
0.81,0.81,1.4848543630202984,0.6127057963939563
0.82,0.82,1.5269270241871216,0.6244326806599911
0.83,0.83,1.5719452600623414,0.6388253159000828
0.84,0.84,1.6202805068592918,0.6566772797467181
0.85,0.85,1.6723767431240653,0.671774901559655
0.86,0.86,1.7287705667477344,0.6894227992188933
0.87,0.87,1.7901187274087529,0.7243424075949463
0.88,0.88,1.8572367041933642,0.7485449892232959
0.89,0.89,1.9311541118777813,0.7708434348915286
0.91,0.91,2.105111008564644,0.8798355287612902
0.92,0.92,2.209264679503782,0.9287195798071878
0.93,0.93,2.328978378063511,0.988365330320067
0.94,0.94,2.46911775683092,1.0806314035593048
0.95,0.95,2.6372289029188076,1.2160260993845273
0.96,0.96,2.8459571932510883,1.4644387172050892
0.97,0.97,3.1190131619132098,1.8392886750578068
0.98,0.98,3.509635064032687,2.114079199673218
0.99,0.99,4.187715394070089,2.842569179534969
