m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.36,0.36,-0.027592824346605982,-0.010506352959517073,-0.0124892384972079
0.37,0.37,-0.029768692486245085,-0.010582275448732859,-0.014438281556819421
0.38,0.38,-0.030632674915563318,-0.011137541652446237,-0.014638635452959015
0.39,0.39,-0.033849964354401796,-0.012203162132400414,-0.016073642316951575
0.41,0.41,-0.03733024300456933,-0.011757178206863395,-0.018256583974760043
0.42,0.42,-0.03688032341741232,-0.01328523424394601,-0.01731154221266712
0.43,0.43,-0.040548639415917576,-0.013373926636008004,-0.01903560333549159
0.44,0.44,-0.04149201110231099,-0.014211716871268432,-0.020919479691626497
0.45,0.45,-0.04580024390226545,-0.014544527317114031,-0.021863114645384207
0.46,0.46,-0.04680136453037448,-0.014778387843638607,-0.022167562550442665
0.47,0.47,-0.048824708388021776,-0.015879994753522975,-0.023121084666951564
0.48,0.48,-0.0511284400134841,-0.017164050058604385,-0.02399758229484439
0.49,0.49,-0.05505847270031611,-0.017680277521370524,-0.027136715210307083
0.51,0.51,-0.062200039345882696,-0.01865207881134251,-0.03154788843799222
0.52,0.52,-0.06384823384543359,-0.02133636735161687,-0.031398182245120976
0.53,0.53,-0.06713435043701671,-0.019024852480600207,-0.033315083410177304
0.54,0.54,-0.06938851497276072,-0.020095252143756237,-0.03368663422907131
0.55,0.55,-0.07760137640712389,-0.021446739483064692,-0.04154448645766479
0.56,0.56,-0.08032837319269298,-0.02322545336183157,-0.04040026860257939
0.57,0.57,-0.0804958285857843,-0.022548462788770485,-0.039515423734785615
0.58,0.58,-0.08525155029636988,-0.023160082409855898,-0.0418248376654724
0.59,0.59,-0.09014658902242012,-0.024047071157162314,-0.04529462025087733
0.61,0.61,-0.10138882353914103,-0.030219911995685578,-0.04999197761243174
0.62,0.62,-0.10692307916998206,-0.028678867618837478,-0.05442001408482605
0.63,0.63,-0.1126605115929078,-0.030435904850432294,-0.05378575655961271
0.64,0.64,-0.1191394352469426,-0.03120137139303658,-0.05627515329496752
0.65,0.65,-0.12560165150350017,-0.03359321441236579,-0.05868001544585799
0.66,0.66,-0.13582303863966744,-0.033928280877084105,-0.06309891309757304
0.67,0.67,-0.14833552008139195,-0.03707673844333298,-0.07135837752757246
0.68,0.68,-0.1477438895789518,-0.03665816187387577,-0.06665008509150183
0.69,0.69,-0.16248243964871173,-0.03960623975519989,-0.07725094695451973
0.71,0.71,-0.18707077025775387,-0.04621851884770839,-0.09135318021566463
0.72,0.72,-0.21052851247278676,-0.04580440638514377,-0.10549526086012051
0.73,0.73,-0.2327025372310661,-0.04828700260638985,-0.1186949959579171
0.74,0.74,-0.23882771619590365,-0.051669614518975726,-0.11848734333673638
0.75,0.75,-0.25971740890451733,-0.053170009692908304,-0.133072252994049
0.76,0.76,-0.2934159046123561,-0.057421645655626574,-0.15342524292187343
0.77,0.77,-0.30667817404560743,-0.060611667817427606,-0.15283590942278769
0.78,0.78,-0.351083993425678,-0.06675054738087383,-0.19074969868066893
0.79,0.79,-0.3885453984067322,-0.07405365510593698,-0.2086405372200939
0.81,0.81,-0.4609874922127248,-0.0840592895449564,-0.2519709698100724
0.82,0.82,-0.5207254757200487,-0.08586922572651923,-0.2938943823568032
0.83,0.83,-0.575179335036357,-0.0943061534260008,-0.30597853358682603
0.84,0.84,-0.6344177613351223,-0.10359428720173708,-0.3355841395399949
0.85,0.85,-0.6765877861664495,-0.11326466214068776,-0.3468798428360068
0.86,0.86,-0.798631059763421,-0.12380513609833904,-0.42035164800560476
0.87,0.87,-0.8724791071678386,-0.1374282731030521,-0.43423945983044143
0.88,0.88,-0.9335317693493602,-0.1524550175267122,-0.4583380611234531
0.89,0.89,-1.0814756673177852,-0.17056708698145884,-0.5118181321329669
0.91,0.91,-1.3142294737148876,-0.23305398950129808,-0.533385972392346
0.92,0.92,-1.441495042742523,-0.2746220079479481,-0.5378813668280948
0.93,0.93,-1.6789402815123005,-0.3263699983811664,-0.5588013927761084
0.94,0.94,-1.9515894421437838,-0.402894661342816,-0.6629722078995905
0.95,0.95,-2.135273076305985,-0.517328906547196,-0.6327127175858647
0.96,0.96,-2.346521640589548,-0.6699267886509839,-0.46189338121038936
0.97,0.97,-2.5242258860114526,-0.9887935922517793,-0.3838298637902877
0.98,0.98,-2.7015875615338585,-1.4206940777260277,-0.1457207458313654
0.99,0.99,-2.8592219719373624,-2.175607948208207,-0.04504223891863779
