m,M,epsilon_of_M,stat_NICV
0.32,0.32,0.25,0.9369716062997868
0.33,0.33,0.25,0.9574692775899029
0.34,0.34,0.25,0.9751884535284793
0.35,0.35,0.25,0.9828448021244051
0.36,0.36,0.25,1.0011083959263771
0.37,0.37,0.25,1.017120825053331
0.38,0.38,0.25,1.0282286530702238
0.39,0.39,0.25,1.0524273640457253
0.41,0.41,0.25,1.0817419964481123
0.42,0.42,0.25,1.0886702870380622
0.43,0.43,0.25,1.101165847372678
0.44,0.44,0.25,1.0979436776016078
0.45,0.45,0.25,1.1925816104235445
0.46,0.46,0.25,1.2046363344968891
0.47,0.47,0.25,1.1954016486306678
0.48,0.48,0.25,1.2314448606432853
0.49,0.49,0.25,1.231545242122381
0.51,0.51,0.25,1.2615918905530767
0.52,0.52,0.25,1.3547867926877653
0.53,0.53,0.25,1.3255732206722983
0.54,0.54,0.25,1.3709708373115015
0.55,0.55,0.25,1.4290303231522428
0.56,0.56,0.25,1.4032154730893107
0.57,0.57,0.25,1.4245629925932157
0.58,0.58,0.25,1.4562715371829322
0.59,0.59,0.25,1.4396822072970166
0.61,0.61,0.25,1.558119515974863
0.62,0.62,0.25,1.6201151566862986
0.63,0.63,0.25,1.6997374557347331
0.64,0.64,0.25,1.7897207248634963
0.65,0.65,0.25,1.8427640470762399
0.66,0.66,0.25,1.8953628716895878
0.67,0.67,0.25,1.9425465282267964
0.68,0.68,0.25,1.9662347972949308
0.69,0.69,0.25,2.012207626993458
0.71,0.71,0.25,2.1069037037233485
0.72,0.72,0.25,2.1816429418716194
0.73,0.73,0.25,2.2290914953036105
0.74,0.74,0.25,2.1948564865782525
0.75,0.75,0.25,2.2932141744368764
0.76,0.76,0.25,2.305070560796839
0.77,0.77,0.25,2.363999739144314
0.78,0.78,0.25,2.405491104769614
0.79,0.79,0.25,2.486889477308156
0.81,0.81,0.25,2.577229972918416
0.82,0.82,0.25,2.63102605958464
0.83,0.83,0.25,2.6916641504469268
0.84,0.84,0.25,2.7561102437703684
0.85,0.85,0.25,2.7576240840368245
0.86,0.86,0.25,2.9835093220977833
0.87,0.87,0.25,3.01960625470218
0.88,0.88,0.25,3.1058510795800447
0.89,0.89,0.25,3.148248413345669
0.91,0.91,0.25,3.235252989896084
0.92,0.92,0.25,3.292184500444068
0.93,0.93,0.25,3.3054432669776768
0.94,0.94,0.25,3.330708378591631
0.95,0.95,0.25,3.369443474850853
0.96,0.96,0.25,3.3978306590190916
0.97,0.97,0.25,3.3307322448887033
0.98,0.98,0.25,3.354546127325166
0.99,0.99,0.25,3.4169978056761092
