m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.28,0.28,-0.2134335047670629,-0.026897965112750666,-0.008925191445743552
0.29,0.29,-0.22251649481362168,-0.026023639574220936,-0.014380022314702368
0.31,0.31,-0.2550884752482646,-0.026881558440374542,-0.04087580383606115
0.32,0.32,-0.2776278436712669,-0.03747711967495615,-0.07078908309388088
0.33,0.33,-0.2989816922663293,-0.03886108452653858,-0.07748018262276535
0.34,0.34,-0.32128236261240206,-0.050713513847225444,-0.08930483608942796
0.35,0.35,-0.3295092875485246,-0.031394262572695286,-0.08182985549158994
0.36,0.36,-0.34582414608036083,-0.04547888285959356,-0.08901446236523392
0.37,0.37,-0.3629125454573672,-0.04010268426278252,-0.0911159148841022
0.38,0.38,-0.36838699203780134,-0.06693724464209827,-0.084031683032743
0.39,0.39,-0.3945076684945358,-0.04648251516424251,-0.08475516221470769
0.41,0.41,-0.419767037940906,-0.051385838138395146,-0.06525536378346075
0.42,0.42,-0.4282166690757667,-0.05350364032952948,-0.06405959300822128
0.43,0.43,-0.4407904135416989,-0.05027178084682016,-0.036493427938061096
0.44,0.44,-0.4442932035669256,-0.05435413594947125,-0.028910204613686874
0.45,0.45,-0.5401115196687226,-0.047879040713554755,-0.07336196111009019
0.46,0.46,-0.5495690256020004,-0.051913813808442955,-0.07025424426359583
0.47,0.47,-0.5411462478174772,-0.07601049668853099,-0.03211209163067208
0.48,0.48,-0.5719058685845478,-0.06126676077316895,-0.044248576015094354
0.49,0.49,-0.5721975281245898,-0.059386691434964445,-0.014803870959320342
0.51,0.51,-0.6019635960223014,-0.05898171850419753,-0.02785116272991317
0.52,0.52,-0.693002832631428,-0.060544029630426155,-0.09826028698911293
0.53,0.53,-0.6673227817657956,-0.07951230507710172,-0.056474992657980616
0.54,0.54,-0.7134738319266778,-0.08744338944609586,-0.09732133997365233
0.55,0.55,-0.7732696022908561,-0.06997681735008587,-0.12576424352844828
0.56,0.56,-0.7518740240004013,-0.07744974070909405,-0.04479442706612913
0.57,0.57,-0.7685886093632186,-0.10289331028462168,-0.04124114184524008
0.58,0.58,-0.8007798109035955,-0.07647698693550564,-0.05141506328913925
0.59,0.59,-0.7799520251540779,-0.0963816516179632,-0.00768858998985289
0.61,0.61,-0.8999000744984459,-0.10619738598350192,-0.03168686071754312
0.62,0.62,-0.9583460819667724,-0.09463082782040688,-0.08493290222698491
0.63,0.63,-1.0282336305703,-0.10065456553718555,-0.11204864701185913
0.64,0.64,-1.1061870291153544,-0.08261543091581758,-0.07576721090154681
0.65,0.65,-1.1634591089217703,-0.10058002466550675,-0.10567865886412409
0.66,0.66,-1.2175038714225344,-0.0986096743734749,-0.14420599236174847
0.67,0.67,-1.2598842193955404,-0.11856626973479178,-0.14712135250650982
0.68,0.68,-1.2896331281589266,-0.10278777757504942,-0.13509536451201876
0.69,0.69,-1.332791725143954,-0.1194737199361221,-0.12449088016165177
0.71,0.71,-1.4256774048939156,-0.12805143288550813,-0.15101009439220037
0.72,0.72,-1.501115417526584,-0.12590876944976437,-0.17932751340779562
0.73,0.73,-1.5512258938701065,-0.13452966276449407,-0.09895458144185909
0.74,0.74,-1.5110522855330881,-0.15716356264841402,0.0051943236244578195
0.75,0.75,-1.6116349240373813,-0.17027421751585292,-0.05548503175459629
0.76,0.76,-1.6268822812139403,-0.20312348551678816,-0.011574374520150421
0.77,0.77,-1.6826055324447935,-0.21368092079777412,-0.06472347430251979
0.78,0.78,-1.7287104906574084,-0.21344108007175766,-0.09202077160093358
0.79,0.79,-1.8066707701433744,-0.24092963723528782,-0.09461672684860734
0.81,0.81,-1.8958946882404746,-0.2655652844597073,-0.09738876518058426
0.82,0.82,-1.9495480916822756,-0.28526042942437835,-0.06521661749712448
0.83,0.83,-2.013029764474273,-0.3309533983841696,-0.07631243485359462
0.84,0.84,-2.073882297465211,-0.2913706365020059,-0.090500582169728
0.85,0.85,-2.075841777332946,-0.32016915044968774,-0.03842120141649019
0.86,0.86,-2.3061899407136135,-0.37149079845899813,-0.16363415740856668
0.87,0.87,-2.3387912299558358,-0.38559064200624127,-0.11399461393373267
0.88,0.88,-2.4249514733230413,-0.43965754634521304,-0.14502004371519295
0.89,0.89,-2.4724537646629647,-0.4866557609971741,-0.1439442821864767
0.91,0.91,-2.552600054472721,-0.5946886248811863,-0.13396594220999392
0.92,0.92,-2.611036319398167,-0.698919285354448,-0.12375071240045399
0.93,0.93,-2.6240925386149074,-0.7805403572390807,-0.1327929218898749
0.94,0.94,-2.6534682251942896,-0.9208727036909371,-0.09844103668487225
0.95,0.95,-2.6860956705138714,-1.1207929105196135,-0.10322430680678574
0.96,0.96,-2.716237785021976,-1.2194451803744706,-0.08779517914457236
0.97,0.97,-2.652332990739532,-1.4199162249575825,0.004953684819017479
0.98,0.98,-2.6738997777498303,-1.939337779839606,-0.0011368810429752685
0.99,0.99,-2.7400642936036874,-2.357171541654292,-0.05313404729545157
