m,M,epsilon_of_M,stat_NICV
0.87,0.87,1.0,0.0005698303964595874
0.88,0.88,1.0,0.0005503825983376774
0.89,0.89,1.0,0.000534212591394611
0.91,0.91,1.0,0.0005663380825512526
0.92,0.92,1.0,0.0005548173583414381
0.93,0.93,1.0,0.0005607581676750183
0.94,0.94,1.0,0.0005652097780131434
0.95,0.95,1.0,0.0005825987934589203
0.96,0.96,1.0,0.0005463942661144022
0.97,0.97,1.0,0.000564363802723947
0.98,0.98,1.0,0.0005679147638532504
0.99,0.99,1.0,0.0005608808745119608
