m,M,epsilon_of_M,stat_NICV
0.72,0.72,2.0,0.3323399484656
0.73,0.73,2.0,0.3334196966454223
0.74,0.74,2.0,0.33266186035275414
0.75,0.75,2.0,0.3331922499314418
0.76,0.76,2.0,0.33269866052732433
0.77,0.77,2.0,0.33291647601646257
0.78,0.78,2.0,0.33380685347735845
0.79,0.79,2.0,0.3334647282816129
0.81,0.81,2.0,0.33409267253098146
0.82,0.82,2.0,0.33256050966030837
0.83,0.83,2.0,0.33306248736082295
0.84,0.84,2.0,0.3335411828695247
0.85,0.85,2.0,0.3325735998861563
0.86,0.86,2.0,0.33292720958729644
0.87,0.87,2.0,0.33305262925194223
0.88,0.88,2.0,0.33317857028330305
0.89,0.89,2.0,0.33379063170244855
0.91,0.91,2.0,0.33346010685673194
0.92,0.92,2.0,0.33396244381077284
0.93,0.93,2.0,0.33255924071121423
0.94,0.94,2.0,0.3331057207308297
0.95,0.95,2.0,0.33275595225427324
0.96,0.96,2.0,0.33302616978019656
0.97,0.97,2.0,0.332801897533202
0.98,0.98,2.0,0.33309242238687264
0.99,0.99,2.0,0.3337555043209203
