m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.25,0.25,0.5,9.432016056618942e-10,0.47,0.37,0.482,0.438
0.26,0.26,0.5,9.432016056618942e-10,0.468,0.362,0.472,0.424
0.27,0.27,0.5,9.432016056618942e-10,0.436,0.34,0.438,0.404
0.28,0.28,0.5,9.432016056618942e-10,0.448,0.358,0.454,0.416
0.29,0.29,0.5,9.432016056618942e-10,0.422,0.338,0.436,0.4
0.31,0.31,0.5,9.432016056618942e-10,0.408,0.376,0.43,0.41
0.32,0.32,0.5,9.432016056618942e-10,0.398,0.326,0.392,0.366
0.33,0.33,0.5,9.432016056618942e-10,0.368,0.346,0.396,0.364
0.34,0.34,0.5,9.432016056618942e-10,0.366,0.326,0.372,0.372
0.35,0.35,0.5,9.432016056618942e-10,0.36,0.338,0.366,0.352
0.36,0.36,0.5,9.432016056618942e-10,0.354,0.34,0.35,0.336
0.37,0.37,0.5,9.432016056618942e-10,0.36,0.328,0.374,0.352
0.38,0.38,0.5,9.432016056618942e-10,0.34,0.312,0.332,0.328
0.39,0.39,0.5,9.432016056618942e-10,0.376,0.326,0.372,0.336
0.41,0.41,0.5,9.432016056618942e-10,0.324,0.264,0.292,0.292
0.42,0.42,0.5,9.432016056618942e-10,0.342,0.28,0.322,0.306
0.43,0.43,0.5,9.432016056618942e-10,0.302,0.284,0.284,0.296
0.44,0.44,0.5,9.432016056618942e-10,0.332,0.302,0.322,0.328
0.45,0.45,0.5,9.432016056618942e-10,0.314,0.276,0.294,0.294
0.46,0.46,0.5,9.432016056618942e-10,0.326,0.272,0.326,0.318
0.47,0.47,0.5,9.432016056618942e-10,0.322,0.246,0.308,0.3
0.48,0.48,0.5,9.432016056618942e-10,0.356,0.258,0.328,0.31
0.49,0.49,0.5,9.432016056618942e-10,0.304,0.246,0.302,0.292
0.51,0.51,0.5,9.432016056618942e-10,0.318,0.244,0.318,0.304
0.52,0.52,0.5,9.432016056618942e-10,0.292,0.234,0.308,0.308
0.53,0.53,0.5,9.432016056618942e-10,0.272,0.194,0.258,0.252
0.54,0.54,0.5,9.432016056618942e-10,0.248,0.188,0.262,0.244
0.55,0.55,0.5,9.432016056618942e-10,0.256,0.172,0.23,0.248
0.56,0.56,0.5,9.432016056618942e-10,0.242,0.192,0.23,0.224
0.57,0.57,0.5,9.432016056618942e-10,0.252,0.188,0.24,0.21
0.58,0.58,0.5,9.432016056618942e-10,0.24,0.182,0.222,0.196
0.59,0.59,0.5,9.432016056618942e-10,0.22,0.18,0.2,0.222
0.61,0.61,0.5,9.432016056618942e-10,0.22,0.174,0.204,0.206
0.62,0.62,0.5,9.432016056618942e-10,0.194,0.166,0.188,0.22
0.63,0.63,0.5,9.432016056618942e-10,0.2,0.16,0.172,0.208
0.64,0.64,0.5,9.432016056618942e-10,0.184,0.15,0.164,0.192
0.65,0.65,0.5,9.432016056618942e-10,0.174,0.158,0.166,0.18
0.66,0.66,0.5,9.432016056618942e-10,0.184,0.136,0.172,0.192
0.67,0.67,0.5,9.432016056618942e-10,0.18,0.154,0.2,0.202
0.68,0.68,0.5,9.432016056618942e-10,0.166,0.126,0.17,0.2
0.69,0.69,0.5,9.432016056618942e-10,0.16,0.148,0.168,0.192
0.71,0.71,0.5,9.432016056618942e-10,0.162,0.132,0.146,0.184
0.72,0.72,0.5,9.432016056618942e-10,0.162,0.128,0.172,0.174
0.73,0.73,0.5,9.432016056618942e-10,0.156,0.122,0.15,0.15
0.74,0.74,0.5,9.432016056618942e-10,0.17,0.134,0.162,0.176
0.75,0.75,0.5,9.432016056618942e-10,0.168,0.104,0.166,0.192
0.76,0.76,0.5,9.432016056618942e-10,0.16,0.126,0.146,0.178
0.77,0.77,0.5,9.432016056618942e-10,0.186,0.108,0.182,0.178
0.78,0.78,0.5,9.432016056618942e-10,0.144,0.132,0.152,0.168
0.79,0.79,0.5,9.432016056618942e-10,0.152,0.11,0.14,0.166
0.81,0.81,0.5,9.432016056618942e-10,0.148,0.12,0.142,0.15
0.82,0.82,0.5,9.432016056618942e-10,0.122,0.1,0.118,0.128
0.83,0.83,0.5,9.432016056618942e-10,0.126,0.124,0.126,0.094
0.84,0.84,0.5,9.432016056618942e-10,0.144,0.094,0.116,0.104
0.85,0.85,0.5,9.432016056618942e-10,0.136,0.134,0.112,0.12
0.86,0.86,0.5,9.432016056618942e-10,0.124,0.096,0.116,0.102
0.87,0.87,0.5,9.432016056618942e-10,0.14,0.116,0.122,0.134
0.88,0.88,0.5,9.432016056618942e-10,0.104,0.082,0.122,0.106
0.89,0.89,0.5,9.432016056618942e-10,0.12,0.102,0.13,0.106
0.91,0.91,0.5,9.432016056618942e-10,0.102,0.094,0.098,0.098
0.92,0.92,0.5,9.432016056618942e-10,0.11,0.084,0.116,0.11
0.93,0.93,0.5,9.432016056618942e-10,0.112,0.068,0.096,0.096
0.94,0.94,0.5,9.432016056618942e-10,0.116,0.072,0.104,0.076
0.95,0.95,0.5,9.432016056618942e-10,0.1,0.042,0.07,0.082
0.96,0.96,0.5,9.432016056618942e-10,0.096,0.044,0.082,0.076
0.97,0.97,0.5,9.432016056618942e-10,0.07,0.04,0.08,0.062
0.98,0.98,0.5,9.432016056618942e-10,0.07,0.026,0.044,0.026
0.99,0.99,0.5,9.432016056618942e-10,0.05,0.018,0.026,0.012
