m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.84,0.84,1.0,9.432016056618942e-10,0.15,,0.128,0.134
0.85,0.85,1.0,9.432016056618942e-10,0.124,,0.112,0.128
0.86,0.86,1.0,9.432016056618942e-10,0.136,,0.116,0.132
0.87,0.87,1.0,9.432016056618942e-10,0.132,,0.124,0.124
0.88,0.88,1.0,9.432016056618942e-10,0.118,,0.118,0.12
0.89,0.89,1.0,9.432016056618942e-10,0.13,,0.126,0.136
0.91,0.91,1.0,9.432016056618942e-10,0.128,,0.11,0.114
0.92,0.92,1.0,9.432016056618942e-10,0.096,,0.094,0.086
0.93,0.93,1.0,9.432016056618942e-10,0.088,,0.084,0.086
0.94,0.94,1.0,9.432016056618942e-10,0.104,,0.1,0.102
0.95,0.95,1.0,9.432016056618942e-10,0.086,,0.104,0.092
0.96,0.96,1.0,9.432016056618942e-10,0.102,,0.08,0.078
0.97,0.97,1.0,9.432016056618942e-10,0.064,,0.06,0.062
0.98,0.98,1.0,9.432016056618942e-10,0.058,,0.038,0.048
0.99,0.99,1.0,9.432016056618942e-10,0.044,,0.046,0.048
