m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.21,0.21,-0.34199999999999997,-0.08200000000000002,-0.29600000000000004,-0.20000000000000007,-0.31599999999999995,0.016000000000000014,-0.21599999999999997,-0.17200000000000004,-0.28800000000000003,-0.06,-0.28800000000000003,-0.16200000000000003
0.22,0.22,-0.344,-0.12600000000000006,-0.27,-0.21999999999999997,-0.33799999999999997,-0.05800000000000005,-0.23199999999999998,-0.20199999999999996,-0.29200000000000004,-0.062,-0.2340000000000001,-0.10999999999999999
0.23,0.23,-0.368,-0.122,-0.29200000000000004,-0.2260000000000001,-0.33599999999999997,-0.026000000000000023,-0.262,-0.19400000000000006,-0.29400000000000004,-0.10599999999999998,-0.2320000000000001,-0.17800000000000005
0.24,0.24,-0.37,-0.14000000000000007,-0.268,-0.236,-0.33399999999999996,-0.04600000000000004,-0.236,-0.20999999999999996,-0.30800000000000005,-0.10800000000000004,-0.2320000000000001,-0.18000000000000005
0.25,0.25,-0.3959999999999999,-0.126,-0.32799999999999996,-0.272,-0.33799999999999997,0.006000000000000005,-0.264,-0.21400000000000008,-0.32799999999999996,-0.07799999999999996,-0.2879999999999999,-0.19199999999999995
0.26,0.26,-0.384,-0.15200000000000002,-0.30199999999999994,-0.2539999999999999,-0.4139999999999999,-0.10000000000000003,-0.30199999999999994,-0.2619999999999999,-0.32000000000000006,-0.07999999999999996,-0.2919999999999999,-0.18399999999999994
0.27,0.27,-0.374,-0.11600000000000005,-0.32999999999999996,-0.27,-0.35,-0.06,-0.272,-0.21600000000000008,-0.32000000000000006,-0.062,-0.30199999999999994,-0.20999999999999996
0.28,0.28,-0.382,-0.16800000000000004,-0.33399999999999996,-0.2679999999999999,-0.3939999999999999,-0.062000000000000055,-0.31399999999999995,-0.2579999999999999,-0.31000000000000005,-0.13,-0.29200000000000004,-0.17599999999999993
0.29,0.29,-0.3999999999999999,-0.15200000000000002,-0.356,-0.28,-0.386,-0.026000000000000023,-0.30599999999999994,-0.254,-0.31999999999999995,-0.124,-0.352,-0.21999999999999997
0.31,0.31,-0.4039999999999999,-0.18400000000000005,-0.34199999999999997,-0.2919999999999999,-0.4139999999999999,-0.05600000000000005,-0.30999999999999994,-0.2599999999999999,-0.33199999999999996,-0.128,-0.29200000000000004,-0.19199999999999995
0.32,0.32,-0.4139999999999999,-0.17400000000000004,-0.364,-0.29200000000000004,-0.4179999999999999,-0.11000000000000004,-0.348,-0.266,-0.346,-0.12,-0.32199999999999995,-0.21599999999999997
0.33,0.33,-0.386,-0.15800000000000003,-0.346,-0.2779999999999999,-0.41999999999999993,-0.08800000000000002,-0.33599999999999997,-0.31199999999999994,-0.30000000000000004,-0.08599999999999997,-0.276,-0.15399999999999991
0.34,0.34,-0.4039999999999999,-0.16400000000000003,-0.372,-0.274,-0.4019999999999999,-0.04800000000000004,-0.31199999999999994,-0.272,-0.31199999999999994,-0.07400000000000001,-0.31400000000000006,-0.17599999999999993
0.35,0.35,-0.3919999999999999,-0.15400000000000003,-0.352,-0.2859999999999999,-0.42999999999999994,-0.08800000000000002,-0.32599999999999996,-0.2759999999999999,-0.30199999999999994,-0.066,-0.30600000000000005,-0.15599999999999992
0.36,0.36,-0.3959999999999999,-0.16400000000000003,-0.356,-0.31000000000000005,-0.44599999999999995,-0.052000000000000046,-0.366,-0.29000000000000004,-0.2919999999999999,-0.11199999999999999,-0.28400000000000003,-0.23199999999999998
0.37,0.37,-0.4019999999999999,-0.19000000000000006,-0.346,-0.29999999999999993,-0.44199999999999995,-0.08400000000000002,-0.344,-0.30399999999999994,-0.30799999999999994,-0.07400000000000001,-0.27,-0.20199999999999996
0.38,0.38,-0.4139999999999999,-0.16000000000000003,-0.378,-0.32200000000000006,-0.42999999999999994,-0.040000000000000036,-0.32999999999999996,-0.266,-0.31799999999999995,-0.04999999999999999,-0.276,-0.19600000000000006
0.39,0.39,-0.43799999999999994,-0.18000000000000005,-0.35,-0.30599999999999994,-0.42999999999999994,-0.07200000000000006,-0.346,-0.30599999999999994,-0.352,-0.04999999999999999,-0.246,-0.16200000000000003
0.41,0.41,-0.44999999999999996,-0.15600000000000003,-0.366,-0.32400000000000007,-0.45999999999999996,-0.08400000000000002,-0.368,-0.31600000000000006,-0.33399999999999996,-0.04799999999999999,-0.256,-0.20000000000000007
0.42,0.42,-0.43599999999999994,-0.18800000000000006,-0.364,-0.346,-0.4179999999999999,-0.07400000000000007,-0.348,-0.31199999999999994,-0.34199999999999997,-0.06,-0.23399999999999999,-0.19400000000000006
0.43,0.43,-0.44399999999999995,-0.18200000000000005,-0.39999999999999997,-0.34800000000000003,-0.44399999999999995,-0.07600000000000001,-0.352,-0.29400000000000004,-0.32799999999999996,-0.06000000000000005,-0.27399999999999997,-0.20800000000000002
0.44,0.44,-0.44399999999999995,-0.20000000000000007,-0.39199999999999996,-0.32999999999999996,-0.45599999999999996,-0.10600000000000004,-0.368,-0.346,-0.33399999999999996,-0.064,-0.24999999999999994,-0.17600000000000005
0.45,0.45,-0.46599999999999997,-0.188,-0.40599999999999997,-0.33,-0.46399999999999997,-0.07400000000000001,-0.376,-0.28400000000000003,-0.348,-0.055999999999999994,-0.24999999999999994,-0.18
0.46,0.46,-0.45199999999999996,-0.202,-0.39799999999999996,-0.33399999999999996,-0.46399999999999997,-0.14200000000000002,-0.372,-0.348,-0.34199999999999997,-0.057999999999999996,-0.24599999999999994,-0.17800000000000005
0.47,0.47,-0.478,-0.19,-0.42,-0.34400000000000003,-0.47,-0.09600000000000003,-0.392,-0.30200000000000005,-0.348,-0.062,-0.25999999999999995,-0.19
0.48,0.48,-0.45399999999999996,-0.2,-0.38599999999999995,-0.352,-0.45799999999999996,-0.10400000000000004,-0.37999999999999995,-0.36599999999999994,-0.352,-0.062,-0.24199999999999994,-0.19600000000000006
0.49,0.49,-0.474,-0.20400000000000001,-0.416,-0.34800000000000003,-0.486,-0.10600000000000004,-0.39599999999999996,-0.32000000000000006,-0.344,-0.07200000000000001,-0.26599999999999996,-0.21800000000000003
0.51,0.51,-0.49999999999999994,-0.24800000000000005,-0.40599999999999997,-0.34199999999999997,-0.48,-0.11600000000000005,-0.378,-0.3559999999999999,-0.37199999999999994,-0.10000000000000003,-0.24000000000000005,-0.122
0.52,0.52,-0.534,-0.21800000000000003,-0.448,-0.37200000000000005,-0.488,-0.14800000000000002,-0.412,-0.326,-0.39399999999999996,-0.066,-0.24400000000000005,-0.16999999999999998
0.53,0.53,-0.484,-0.24799999999999994,-0.426,-0.37599999999999995,-0.512,-0.13999999999999996,-0.428,-0.38799999999999996,-0.32600000000000007,-0.035999999999999976,-0.20600000000000002,-0.2
0.54,0.54,-0.524,-0.22200000000000003,-0.422,-0.4139999999999999,-0.512,-0.17400000000000004,-0.454,-0.39599999999999996,-0.39999999999999997,-0.043999999999999984,-0.22400000000000003,-0.22599999999999998
0.55,0.55,-0.572,-0.288,-0.48400000000000004,-0.42400000000000004,-0.558,-0.20599999999999996,-0.48200000000000004,-0.406,-0.43199999999999994,-0.08400000000000002,-0.26000000000000006,-0.276
0.56,0.56,-0.528,-0.22600000000000003,-0.444,-0.42399999999999993,-0.572,-0.20800000000000002,-0.452,-0.43999999999999995,-0.36800000000000005,-0.02999999999999997,-0.22000000000000003,-0.18799999999999994
0.57,0.57,-0.566,-0.296,-0.498,-0.42200000000000004,-0.5599999999999999,-0.20599999999999996,-0.48200000000000004,-0.41000000000000003,-0.402,-0.08800000000000002,-0.272,-0.252
0.58,0.58,-0.528,-0.25200000000000006,-0.45,-0.41999999999999993,-0.578,-0.19400000000000006,-0.494,-0.46199999999999997,-0.38999999999999996,-0.066,-0.22800000000000004,-0.19599999999999995
0.59,0.59,-0.55,-0.31399999999999995,-0.492,-0.43400000000000005,-0.586,-0.24,-0.5,-0.42600000000000005,-0.3940000000000001,-0.08799999999999997,-0.26,-0.266
0.61,0.61,-0.544,-0.25400000000000006,-0.488,-0.42199999999999993,-0.58,-0.20400000000000007,-0.504,-0.46399999999999997,-0.35600000000000004,-0.055999999999999994,-0.258,-0.18199999999999994
0.62,0.62,-0.596,-0.32999999999999996,-0.496,-0.44200000000000006,-0.532,-0.20399999999999996,-0.48000000000000004,-0.36600000000000005,-0.41000000000000003,-0.07600000000000001,-0.268,-0.236
0.63,0.63,-0.574,-0.278,-0.486,-0.42199999999999993,-0.6559999999999999,-0.23200000000000004,-0.554,-0.508,-0.36,-0.04999999999999999,-0.21999999999999997,-0.17399999999999993
0.64,0.64,-0.606,-0.31399999999999995,-0.498,-0.45600000000000007,-0.6399999999999999,-0.282,-0.5680000000000001,-0.462,-0.376,-0.05399999999999999,-0.242,-0.22399999999999998
0.65,0.65,-0.564,-0.2720000000000001,-0.494,-0.45599999999999996,-0.5579999999999999,-0.18600000000000005,-0.47200000000000003,-0.41999999999999993,-0.362,-0.026000000000000023,-0.22399999999999998,-0.22399999999999998
0.66,0.66,-0.6279999999999999,-0.32599999999999996,-0.534,-0.464,-0.548,-0.19799999999999995,-0.47400000000000003,-0.38800000000000007,-0.39399999999999996,-0.057999999999999996,-0.274,-0.198
0.67,0.67,-0.58,-0.2740000000000001,-0.51,-0.45599999999999996,-0.5519999999999999,-0.18000000000000005,-0.496,-0.43799999999999994,-0.34199999999999997,-0.016000000000000014,-0.21799999999999997,-0.16400000000000003
0.68,0.68,-0.6259999999999999,-0.33399999999999996,-0.554,-0.4580000000000001,-0.6239999999999999,-0.27199999999999996,-0.526,-0.466,-0.39799999999999996,-0.064,-0.24199999999999994,-0.21000000000000008
