m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.69,0.69,0.5,2.2500450006750095e-10,0.998,0.736,0.97,0.96
0.71,0.71,0.5,2.2500450006750095e-10,0.996,0.75,0.964,0.944
0.72,0.72,0.5,2.2500450006750095e-10,0.998,0.736,0.97,0.96
0.73,0.73,0.5,2.2500450006750095e-10,0.996,0.75,0.964,0.946
0.74,0.74,0.5,2.2500450006750095e-10,0.998,0.734,0.97,0.958
0.75,0.75,0.5,2.2500450006750095e-10,0.996,0.752,0.964,0.946
0.76,0.76,0.5,2.2500450006750095e-10,0.998,0.734,0.97,0.958
0.77,0.77,0.5,2.2500450006750095e-10,0.996,0.752,0.964,0.946
0.78,0.78,0.5,2.2500450006750095e-10,0.998,0.732,0.97,0.958
0.79,0.79,0.5,2.2500450006750095e-10,0.992,0.726,0.966,0.944
0.81,0.81,0.5,2.2500450006750095e-10,0.998,0.732,0.97,0.958
0.82,0.82,0.5,2.2500450006750095e-10,0.996,0.752,0.964,0.946
0.83,0.83,0.5,2.2500450006750095e-10,0.998,0.732,0.97,0.958
0.84,0.84,0.5,2.2500450006750095e-10,0.992,0.726,0.966,0.944
0.85,0.85,0.5,2.2500450006750095e-10,0.998,0.732,0.97,0.958
0.86,0.86,0.5,2.2500450006750095e-10,0.992,0.728,0.966,0.944
0.87,0.87,0.5,2.2500450006750095e-10,0.994,0.728,0.968,0.946
0.88,0.88,0.5,2.2500450006750095e-10,0.996,0.732,0.97,0.956
0.89,0.89,0.5,2.2500450006750095e-10,0.998,0.73,0.968,0.96
0.91,0.91,0.5,2.2500450006750095e-10,0.996,0.754,0.966,0.944
0.92,0.92,0.5,2.2500450006750095e-10,0.998,0.732,0.968,0.96
0.93,0.93,0.5,2.2500450006750095e-10,0.996,0.754,0.966,0.944
0.94,0.94,0.5,2.2500450006750095e-10,0.998,0.73,0.968,0.96
0.95,0.95,0.5,2.2500450006750095e-10,0.996,0.722,0.972,0.948
0.96,0.96,0.5,2.2500450006750095e-10,0.996,0.692,0.972,0.958
0.97,0.97,0.5,2.2500450006750095e-10,0.998,0.698,0.98,0.958
0.98,0.98,0.5,2.2500450006750095e-10,0.996,0.694,0.972,0.958
0.99,0.99,0.5,2.2500450006750095e-10,0.998,0.694,0.98,0.958
