m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.78,0.78,2.0,2.2500450006750095e-10,0.33,,0.336,0.342
0.79,0.79,2.0,2.2500450006750095e-10,0.302,,0.316,0.33
0.81,0.81,2.0,2.2500450006750095e-10,0.276,,0.284,0.282
0.82,0.82,2.0,2.2500450006750095e-10,0.28,,0.264,0.262
0.83,0.83,2.0,2.2500450006750095e-10,0.246,,0.254,0.258
0.84,0.84,2.0,2.2500450006750095e-10,0.262,,0.25,0.266
0.85,0.85,2.0,2.2500450006750095e-10,0.264,,0.252,0.26
0.86,0.86,2.0,2.2500450006750095e-10,0.254,,0.248,0.264
0.87,0.87,2.0,2.2500450006750095e-10,0.268,,0.27,0.254
0.88,0.88,2.0,2.2500450006750095e-10,0.278,,0.28,0.264
0.89,0.89,2.0,2.2500450006750095e-10,0.242,,0.246,0.234
0.91,0.91,2.0,2.2500450006750095e-10,0.24,,0.234,0.24
0.92,0.92,2.0,2.2500450006750095e-10,0.196,,0.21,0.188
0.93,0.93,2.0,2.2500450006750095e-10,0.18,,0.182,0.192
0.94,0.94,2.0,2.2500450006750095e-10,0.16,,0.162,0.152
0.95,0.95,2.0,2.2500450006750095e-10,0.178,,0.168,0.198
0.96,0.96,2.0,2.2500450006750095e-10,0.156,,0.156,0.158
0.97,0.97,2.0,2.2500450006750095e-10,0.144,,0.124,0.118
0.98,0.98,2.0,2.2500450006750095e-10,0.156,,0.152,0.152
0.99,0.99,2.0,2.2500450006750095e-10,0.09,,0.1,0.12
